"","SIGLA_UF","NOME_MUNICIPIO","SIGLA_PARTIDO","NOME_PARTIDO","QTDE_VOTOS_NOMINAIS","leftist_party","date"
"31","AC","RIO BRANCO","PT","PARTIDO DOS TRABALHADORES",25318,1,"2012-10-07"
"32","AC","SENADOR GUIOMARD","PT","PARTIDO DOS TRABALHADORES",5365,1,"2012-10-07"
"33","AC","ACRELÂNDIA","DEM","DEMOCRATAS",2521,0,"2012-10-07"
"34","AC","MANOEL URBANO","PRP","PARTIDO REPUBLICANO PROGRESSISTA",1230,0,"2012-10-07"
"35","AC","RIO BRANCO","PSOL","PARTIDO SOCIALISMO E LIBERDADE",397,1,"2012-10-07"
"36","AC","SANTA ROSA DO PURUS","PT","PARTIDO DOS TRABALHADORES",1005,1,"2012-10-07"
"37","AC","MÂNCIO LIMA","PT","PARTIDO DOS TRABALHADORES",3104,1,"2012-10-07"
"38","AC","BRASILÉIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",6090,0,"2012-10-07"
"39","AC","RODRIGUES ALVES","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2220,0,"2012-10-07"
"40","AC","RIO BRANCO","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",404,1,"2012-10-07"
"41","AC","MARECHAL THAUMATURGO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",2062,0,"2012-10-07"
"42","AC","BRASILÉIA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",845,0,"2012-10-07"
"43","AC","FEIJÓ","PP","PARTIDO PROGRESSISTA",3435,0,"2012-10-07"
"44","AC","RIO BRANCO","PT","PARTIDO DOS TRABALHADORES",27547,1,"2012-10-07"
"45","AC","BUJARI","PSC","PARTIDO SOCIAL CRISTÃO",492,0,"2012-10-07"
"46","AC","RIO BRANCO","PSC","PARTIDO SOCIAL CRISTÃO",1227,0,"2012-10-07"
"47","AC","RIO BRANCO","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",330,1,"2012-10-07"
"48","AC","FEIJÓ","PV","PARTIDO VERDE",471,1,"2012-10-07"
"49","AC","SENA MADUREIRA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",6817,0,"2012-10-07"
"50","AC","PORTO ACRE","PT","PARTIDO DOS TRABALHADORES",3084,1,"2012-10-07"
"51","AC","PORTO WALTER","PT","PARTIDO DOS TRABALHADORES",1628,1,"2012-10-07"
"52","AC","FEIJÓ","PT","PARTIDO DOS TRABALHADORES",5993,1,"2012-10-07"
"53","AC","XAPURI","PT","PARTIDO DOS TRABALHADORES",3610,1,"2012-10-07"
"54","AC","PORTO ACRE","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1760,0,"2012-10-07"
"55","AC","JORDÃO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1178,0,"2012-10-07"
"56","AC","RIO BRANCO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2893,0,"2012-10-07"
"57","AC","ACRELÂNDIA","PTN","PARTIDO TRABALHISTA NACIONAL",1307,0,"2012-10-07"
"58","AC","EPITACIOLÂNDIA","PSB","PARTIDO SOCIALISTA BRASILEIRO",2016,1,"2012-10-07"
"59","AC","SANTA ROSA DO PURUS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",1088,0,"2012-10-07"
"60","AC","JORDÃO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",492,0,"2012-10-07"
"61","AC","RIO BRANCO","PSOL","PARTIDO SOCIALISMO E LIBERDADE",306,1,"2012-10-07"
"62","AC","CAPIXABA","PP","PARTIDO PROGRESSISTA",1401,0,"2012-10-07"
"63","AC","TARAUACÁ","PT","PARTIDO DOS TRABALHADORES",8299,1,"2012-10-07"
"64","AC","MÂNCIO LIMA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3149,0,"2012-10-07"
"65","AC","SENA MADUREIRA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3104,0,"2012-10-07"
"66","AC","MARECHAL THAUMATURGO","PPS","PARTIDO POPULAR SOCIALISTA",563,0,"2012-10-07"
"67","AC","BRASILÉIA","PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO",420,0,"2012-10-07"
"68","AC","SENADOR GUIOMARD","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",1861,1,"2012-10-07"
"69","AC","BUJARI","PSB","PARTIDO SOCIALISTA BRASILEIRO",1347,1,"2012-10-07"
"70","AC","MANOEL URBANO","PSB","PARTIDO SOCIALISTA BRASILEIRO",1547,1,"2012-10-07"
"71","AC","CRUZEIRO DO SUL","PV","PARTIDO VERDE",16658,1,"2012-10-07"
"72","AC","CAPIXABA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",1058,0,"2012-10-07"
"73","AC","RIO BRANCO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",24255,0,"2012-10-07"
"74","AC","RIO BRANCO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",28227,0,"2012-10-07"
"75","AC","PLÁCIDO DE CASTRO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",4338,0,"2012-10-07"
"76","AC","TARAUACÁ","PSD","PARTIDO SOCIAL DEMOCRÁTICO",7890,0,"2012-10-07"
"77","AC","CAPIXABA","PC DO B","PARTIDO COMUNISTA DO BRASIL",2007,0,"2012-10-07"
"78","AC","BUJARI","PP","PARTIDO PROGRESSISTA",1478,0,"2012-10-07"
"79","AC","RODRIGUES ALVES","PP","PARTIDO PROGRESSISTA",0,0,"2012-10-07"
"80","AC","ACRELÂNDIA","PT","PARTIDO DOS TRABALHADORES",2334,1,"2012-10-07"
"81","AC","CRUZEIRO DO SUL","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",18840,0,"2012-10-07"
"82","AC","SENA MADUREIRA","PR","PARTIDO DA REPÚBLICA",9413,0,"2012-10-07"
"83","AC","XAPURI","PV","PARTIDO VERDE",171,1,"2012-10-07"
"84","AC","BUJARI","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",356,0,"2012-10-07"
"85","AC","FEIJÓ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",3368,0,"2012-10-07"
"86","AL","CAMPO GRANDE","PRB","PARTIDO REPUBLICANO BRASILEIRO",28,0,"2012-10-07"
"87","AL","BARRA DE SANTO ANTÔNIO","PP","PARTIDO PROGRESSISTA",2935,0,"2012-10-07"
"88","AL","MONTEIRÓPOLIS","PP","PARTIDO PROGRESSISTA",1873,0,"2012-10-07"
"89","AL","PAULO JACINTO","PP","PARTIDO PROGRESSISTA",731,0,"2012-10-07"
"90","AL","SÃO JOSÉ DA LAJE","PP","PARTIDO PROGRESSISTA",5712,0,"2012-10-07"
"91","AL","BRANQUINHA","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",44,1,"2012-10-07"
"92","AL","MACEIÓ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",14936,1,"2012-10-07"
"93","AL","OURO BRANCO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",0,1,"2012-10-07"
"94","AL","SÃO BRÁS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",2046,1,"2012-10-07"
"95","AL","FEIRA GRANDE","PT","PARTIDO DOS TRABALHADORES",171,1,"2012-10-07"
"96","AL","PORTO REAL DO COLÉGIO","PT","PARTIDO DOS TRABALHADORES",3,1,"2012-10-07"
"97","AL","JARAMATAIA","PTB","PARTIDO TRABALHISTA BRASILEIRO",973,0,"2012-10-07"
"98","AL","MAJOR ISIDORO","PTB","PARTIDO TRABALHISTA BRASILEIRO",5364,0,"2012-10-07"
"99","AL","PORTO DE PEDRAS","PTB","PARTIDO TRABALHISTA BRASILEIRO",1171,0,"2012-10-07"
"100","AL","COITÉ DO NÓIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3219,0,"2012-10-07"
"101","AL","IGACI","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",7664,0,"2012-10-07"
"102","AL","MAR VERMELHO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1618,0,"2012-10-07"
"103","AL","MONTEIRÓPOLIS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2294,0,"2012-10-07"
"104","AL","OLHO D'ÁGUA DAS FLORES","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",5908,0,"2012-10-07"
"105","AL","PALESTINA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1524,0,"2012-10-07"
"106","AL","PIRANHAS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",5676,0,"2012-10-07"
"107","AL","SANTA LUZIA DO NORTE","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1398,0,"2012-10-07"
"108","AL","OLHO D'ÁGUA GRANDE","PSC","PARTIDO SOCIAL CRISTÃO",1,0,"2012-10-07"
"109","AL","SÃO LUÍS DO QUITUNDE","PR","PARTIDO DA REPÚBLICA",3490,0,"2012-10-07"
"110","AL","VIÇOSA","PPS","PARTIDO POPULAR SOCIALISTA",22,0,"2012-10-07"
"111","AL","BATALHA","DEM","DEMOCRATAS",3099,0,"2012-10-07"
"112","AL","PENEDO","DEM","DEMOCRATAS",12156,0,"2012-10-07"
"113","AL","TRAIPU","DEM","DEMOCRATAS",6518,0,"2012-10-07"
"114","AL","QUEBRANGULO","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",94,0,"2012-10-07"
"115","AL","SÃO MIGUEL DOS CAMPOS","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",915,0,"2012-10-07"
"116","AL","SATUBA","PHS","PARTIDO HUMANISTA DA SOLIDARIEDADE",506,0,"2012-10-07"
"117","AL","MAJOR ISIDORO","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",5154,1,"2012-10-07"
"118","AL","NOVO LINO","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",2059,1,"2012-10-07"
"119","AL","PORTO DE PEDRAS","PTC","PARTIDO TRABALHISTA CRISTÃO",2012,0,"2012-10-07"
"120","AL","ARAPIRACA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",24560,0,"2012-10-07"
"121","AL","CAJUEIRO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",5299,0,"2012-10-07"
"122","AL","CAPELA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",4843,0,"2012-10-07"
"123","AL","MATRIZ DE CAMARAGIBE","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",2219,0,"2012-10-07"
"124","AL","MESSIAS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",5142,0,"2012-10-07"
"125","AL","PILAR","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",8710,0,"2012-10-07"
"126","AL","PORTO CALVO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",6237,0,"2012-10-07"
"127","AL","RIO LARGO","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",1860,0,"2012-10-07"
"128","AL","LAGOA DA CANOA","PSOL","PARTIDO SOCIALISMO E LIBERDADE",37,1,"2012-10-07"
"129","AL","MACEIÓ","PSOL","PARTIDO SOCIALISMO E LIBERDADE",2872,1,"2012-10-07"
"130","AL","PIRANHAS","PSOL","PARTIDO SOCIALISMO E LIBERDADE",80,1,"2012-10-07"
"131","AL","FELIZ DESERTO","PSD","PARTIDO SOCIAL DEMOCRÁTICO",1,0,"2012-10-07"
"132","AL","JACUÍPE","PSD","PARTIDO SOCIAL DEMOCRÁTICO",2134,0,"2012-10-07"
"133","AL","TEOTÔNIO VILELA","PSD","PARTIDO SOCIAL DEMOCRÁTICO",6457,0,"2012-10-07"
"134","AL","CAMPESTRE","PT DO B","PARTIDO TRABALHISTA DO BRASIL",1693,0,"2012-10-07"
"135","AL","FLEXEIRAS","PP","PARTIDO PROGRESSISTA",3599,0,"2012-10-07"
"136","AL","JUNDIÁ","PP","PARTIDO PROGRESSISTA",1476,0,"2012-10-07"
"137","AL","CAMPO GRANDE","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",2965,1,"2012-10-07"
"138","AL","PENEDO","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",16593,1,"2012-10-07"
"139","AL","OLHO D'ÁGUA DAS FLORES","PT","PARTIDO DOS TRABALHADORES",265,1,"2012-10-07"
"140","AL","PALESTINA","PT","PARTIDO DOS TRABALHADORES",1427,1,"2012-10-07"
"141","AL","BARRA DE SÃO MIGUEL","PTB","PARTIDO TRABALHISTA BRASILEIRO",1304,0,"2012-10-07"
"142","AL","MAJOR ISIDORO","PTB","PARTIDO TRABALHISTA BRASILEIRO",5789,0,"2012-10-07"
"143","AL","TRAIPU","PTB","PARTIDO TRABALHISTA BRASILEIRO",0,0,"2012-10-07"
"144","AL","BATALHA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3350,0,"2012-10-07"
"145","AL","BOCA DA MATA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",7176,0,"2012-10-07"
"146","AL","CAPELA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",4627,0,"2012-10-07"
"147","AL","JUNDIÁ","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1664,0,"2012-10-07"
"148","AL","PASSO DE CAMARAGIBE","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",4218,0,"2012-10-07"
"149","AL","PIAÇABUÇU","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",38,0,"2012-10-07"
"150","AL","SÃO JOSÉ DA LAJE","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",6272,0,"2012-10-07"
"151","AL","PORTO CALVO","PSL","PARTIDO SOCIAL LIBERAL",4674,0,"2012-10-07"
"152","AL","SÃO LUÍS DO QUITUNDE","PSL","PARTIDO SOCIAL LIBERAL",1647,0,"2012-10-07"
"153","AL","CAMPESTRE","PR","PARTIDO DA REPÚBLICA",1069,0,"2012-10-07"
"154","AL","PALMEIRA DOS ÍNDIOS","PR","PARTIDO DA REPÚBLICA",3091,0,"2012-10-07"
"155","AL","ANADIA","PPS","PARTIDO POPULAR SOCIALISTA",3719,0,"2012-10-07"
"156","AL","CORURIPE","PPS","PARTIDO POPULAR SOCIALISTA",11548,0,"2012-10-07"
"157","AL","JARAMATAIA","PPS","PARTIDO POPULAR SOCIALISTA",1585,0,"2012-10-07"
"158","AL","SANTANA DO IPANEMA","PPS","PARTIDO POPULAR SOCIALISTA",417,0,"2012-10-07"
"159","AL","JUNQUEIRO","DEM","DEMOCRATAS",9110,0,"2012-10-07"
"160","AL","MACEIÓ","DEM","DEMOCRATAS",6647,0,"2012-10-07"
"161","AL","MATRIZ DE CAMARAGIBE","DEM","DEMOCRATAS",107,0,"2012-10-07"
"162","AL","MARAGOGI","PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO",858,0,"2012-10-07"
"163","AL","CHÃ PRETA","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",2227,1,"2012-10-07"
"164","AL","ESTRELA DE ALAGOAS","PTC","PARTIDO TRABALHISTA CRISTÃO",312,0,"2012-10-07"
"165","AL","SÃO JOSÉ DA TAPERA","PTC","PARTIDO TRABALHISTA CRISTÃO",227,0,"2012-10-07"
"166","AL","SÃO JOSÉ DA LAJE","PSB","PARTIDO SOCIALISTA BRASILEIRO",604,1,"2012-10-07"
"167","AL","JACARÉ DOS HOMENS","PRP","PARTIDO REPUBLICANO PROGRESSISTA",1119,0,"2012-10-07"
"168","AL","MATA GRANDE","PRP","PARTIDO REPUBLICANO PROGRESSISTA",4823,0,"2012-10-07"
"169","AL","SATUBA","PRP","PARTIDO REPUBLICANO PROGRESSISTA",1806,0,"2012-10-07"
"170","AL","JOAQUIM GOMES","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",4968,0,"2012-10-07"
"171","AL","MACEIÓ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",51734,0,"2012-10-07"
"172","AL","SÃO JOSÉ DA TAPERA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",8971,0,"2012-10-07"
"173","AL","UNIÃO DOS PALMARES","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",14999,0,"2012-10-07"
"174","AL","SENADOR RUI PALMEIRA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",3553,0,"2012-10-07"
"175","AL","CAMPO ALEGRE","PSOL","PARTIDO SOCIALISMO E LIBERDADE",30,1,"2012-10-07"
"176","AL","DOIS RIACHOS","PSOL","PARTIDO SOCIALISMO E LIBERDADE",0,1,"2012-10-07"
"177","AL","MACEIÓ","PPL","PARTIDO PÁTRIA LIVRE",554,0,"2012-10-07"
"178","AL","MESSIAS","PPL","PARTIDO PÁTRIA LIVRE",3853,0,"2012-10-07"
"179","AL","UNIÃO DOS PALMARES","PSD","PARTIDO SOCIAL DEMOCRÁTICO",16476,0,"2012-10-07"
"180","AL","ARAPIRACA","PT DO B","PARTIDO TRABALHISTA DO BRASIL",8571,0,"2012-10-07"
"181","AL","MACEIÓ","PT DO B","PARTIDO TRABALHISTA DO BRASIL",1917,0,"2012-10-07"
"182","AL","MESSIAS","PT DO B","PARTIDO TRABALHISTA DO BRASIL",14,0,"2012-10-07"
"183","AL","CRAÍBAS","PT DO B","PARTIDO TRABALHISTA DO BRASIL",6334,0,"2012-10-07"
"184","AL","ESTRELA DE ALAGOAS","PP","PARTIDO PROGRESSISTA",4127,0,"2012-10-07"
"185","AL","CAMPO GRANDE","PP","PARTIDO PROGRESSISTA",3068,0,"2012-10-07"
"186","AL","JACARÉ DOS HOMENS","PP","PARTIDO PROGRESSISTA",2466,0,"2012-10-07"
"187","AL","MATRIZ DE CAMARAGIBE","PP","PARTIDO PROGRESSISTA",3681,0,"2012-10-07"
"188","AL","MACEIÓ","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",10578,1,"2012-10-07"
"189","AL","MURICI","PT","PARTIDO DOS TRABALHADORES",1356,1,"2012-10-07"
"190","AL","OLHO D'ÁGUA DO CASADO","PT","PARTIDO DOS TRABALHADORES",2407,1,"2012-10-07"
"191","AL","PALESTINA","PT","PARTIDO DOS TRABALHADORES",1598,1,"2012-10-07"
"192","AL","POÇO DAS TRINCHEIRAS","PT","PARTIDO DOS TRABALHADORES",2929,1,"2012-10-07"
"193","AL","JEQUIÁ DA PRAIA","PTB","PARTIDO TRABALHISTA BRASILEIRO",3197,0,"2012-10-07"
"194","AL","JAPARATINGA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",1534,0,"2012-10-07"
"195","AL","NOVO LINO","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3660,0,"2012-10-07"
"196","AL","PENEDO","PSC","PARTIDO SOCIAL CRISTÃO",2217,0,"2012-10-07"
"197","AL","PIRANHAS","PPS","PARTIDO POPULAR SOCIALISTA",16,0,"2012-10-07"
"198","AL","MACEIÓ","DEM","DEMOCRATAS",14672,0,"2012-10-07"
"199","AL","SÃO BRÁS","PSDC","PARTIDO SOCIAL DEMOCRATA CRISTÃO",1,0,"2012-10-07"
"200","AL","CAMPESTRE","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",1258,0,"2012-10-07"
"201","AL","SÃO JOSÉ DA TAPERA","PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",612,0,"2012-10-07"
"202","AL","CAPELA","PMN","PARTIDO DA MOBILIZAÇÃO NACIONAL",170,1,"2012-10-07"
"203","AL","JACUÍPE","PSB","PARTIDO SOCIALISTA BRASILEIRO",1798,1,"2012-10-07"
"204","AL","RIO LARGO","PSB","PARTIDO SOCIALISTA BRASILEIRO",9449,1,"2012-10-07"
"205","AL","SANTANA DO IPANEMA","PV","PARTIDO VERDE",8562,1,"2012-10-07"
"206","AL","BELO MONTE","PRP","PARTIDO REPUBLICANO PROGRESSISTA",7,0,"2012-10-07"
"207","AL","ANADIA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",3443,0,"2012-10-07"
"208","AL","DOIS RIACHOS","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",3572,0,"2012-10-07"
"209","AL","MACEIÓ","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",37461,0,"2012-10-07"
"210","AL","SANTANA DO IPANEMA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",1826,0,"2012-10-07"
"211","AL","TEOTÔNIO VILELA","PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",12916,0,"2012-10-07"
"212","AL","PILAR","PSOL","PARTIDO SOCIALISMO E LIBERDADE",239,1,"2012-10-07"
"213","AL","ATALAIA","PSD","PARTIDO SOCIAL DEMOCRÁTICO",10526,0,"2012-10-07"
"214","AL","LIMOEIRO DE ANADIA","PSD","PARTIDO SOCIAL DEMOCRÁTICO",4711,0,"2012-10-07"
"215","AL","MURICI","PSD","PARTIDO SOCIAL DEMOCRÁTICO",4755,0,"2012-10-07"
"216","AL","NOVO LINO","PSD","PARTIDO SOCIAL DEMOCRÁTICO",1124,0,"2012-10-07"
"217","AL","PORTO CALVO","PSD","PARTIDO SOCIAL DEMOCRÁTICO",3712,0,"2012-10-07"
"218","AL","RIO LARGO","PSD","PARTIDO SOCIAL DEMOCRÁTICO",8911,0,"2012-10-07"
"219","AL","MACEIÓ","PRB","PARTIDO REPUBLICANO BRASILEIRO",5872,0,"2012-10-07"
"220","AL","SÃO LUÍS DO QUITUNDE","PP","PARTIDO PROGRESSISTA",4154,0,"2012-10-07"
"221","AL","SÃO SEBASTIÃO","PP","PARTIDO PROGRESSISTA",9718,0,"2012-10-07"
"222","AL","SENADOR RUI PALMEIRA","PP","PARTIDO PROGRESSISTA",2665,0,"2012-10-07"
"223","AL","FLEXEIRAS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",2423,1,"2012-10-07"
"224","AL","PIRANHAS","PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",6466,1,"2012-10-07"
"225","AL","ATALAIA","PT","PARTIDO DOS TRABALHADORES",122,1,"2012-10-07"
"226","AL","INHAPI","PT","PARTIDO DOS TRABALHADORES",5578,1,"2012-10-07"
"227","AL","ATALAIA","PTB","PARTIDO TRABALHISTA BRASILEIRO",11010,0,"2012-10-07"
"228","AL","ANADIA","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2030,0,"2012-10-07"
"229","AL","CACIMBINHAS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",3087,0,"2012-10-07"
"230","AL","MATRIZ DE CAMARAGIBE","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",2465,0,"2012-10-07"
"231","AL","SÃO MIGUEL DOS CAMPOS","PMDB","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO",0,0,"2012-10-07"
"232","AL","MATRIZ DE CAMARAGIBE","PR","PARTIDO DA REPÚBLICA",253,0,"2012-10-07"
"233","AL","LAGOA DA CANOA","PPS","PARTIDO POPULAR SOCIALISTA",4825,0,"2012-10-07"
"234","AL","MACEIÓ","PPS","PARTIDO POPULAR SOCIALISTA",1115,0,"2012-10-07"
"235","AL","MACEIÓ","PPS","PARTIDO POPULAR SOCIALISTA",1784,0,"2012-10-07"
